Publicationobjectfromdate,Artcleversionheadline1,Artcleversioningressplain,Artcleversiontextplain,Channelobjectidf
40932.3199421296,M-real renews its management and organization,Jan 24 2012  M-real  renews its management and reporting structure to better reflect the company’s strategy and the focus on fresh forest fiber paperboard.,"M-real operates through two business areas that are also the company’s reporting segments from first quarter of 2012 onwards. The business areas are Paperboard and Paper and Pulp.Paperboard business area includes the Kemi, Kyro, Simpele, Tako and Äänekoski board mills, Kyro wallpaper base machine and Joutseno BCTMP mill located in Finland as well as Gohrsmühle mill in Germany. Paper and Pulp business area includes Husum paper and pulp mill in Sweden, Alizay mill in France and Kaskinen BCTMP mill in Finland.As earlier announced, M-real is planning to close the entire Alizay mill and the unprofitable operations at Gohrsmühle mill. The plans are expected to materialize in early 2012 that would improve the company’s profitability materially.Pasi Piiparinen has been appointed Senior Vice President and Head of Paperboard business area and a member of M-real Corporate Management Team as of 20 March 2012. Piiparinen joins M-real from Stora Enso. As earlier announced, Mika Joukio, current Head of Paperboard business area has been appointed CEO of Metsä Tissue as of February 1. Mikko Helander, CEO, will be the acting Head of Paperboard business area from February 1 to March 20.",Engelska nyheter
40932.3249305556,Changes in Walki's organization,"Jan 24 2012  To realize Walki's strong growth ambitions in the Asia Pacific region, Mikael Nováky will fully concentrate on growing the business in the Asian markets in his role as Vice President, Asia Pacific.","Mikael Nováky's responsibilities include all  sales and business development activities of the Group in the Asia Pacific area and the Changshu plant.As a consequence, Timo Finnström has been appointed Vice President, Paper Packaging and Sourcing, as of January 1.As of January 1 the Operational Excellence model has been strengthened by bringing together Walki's Lean and Supply Chain operations into one organization. The Operational Excellence function will concentrate on improving Walki's competitiveness and customer service, and further developing and implementing Lean practices and continuoued improvement.Tuomo Wall has been appointed Vice President, Operational Excellence as of January 1.",Engelska nyheter
40932.4495023148,M-real launches new kraftliner grades,"Jan 24 2012  M-real launches two new coated kraftliner grades, produced by Kemiart Liners mill in Kemi, Finland.","The new double-coated grades are Kemiart Graph+ and Kemiart Lite+. According to M-real, The double coating provides a smoother and glossier surface, enhancing printability with improved ink laydown, brighter colours and more accurate detail. The new grades areideal for retail-ready packaging, point-of-sale and promotional displays and other high-end packaging applications.Kemiart Graph+ has been developed for flexo preprint, as well as offset, screen and water-based inkjet printing, and Kemiart Lite+ is designed for flexo postprint. “The promotional role of corrugated packaging in retail stores continues to grow, as consumers are attracted by high quality but sustainable packaging,” says Risto Auero, Vice President Sales Linerboards, M-real Paperboard. “At the same time, brand owners are looking for accurate colour reproduction combined with excellent print results. Customer trials with the new grades have provided results beyond our expectations, especially in ink density and gloss.”The launch of the double-coated products follows a 16 million Euros investment by M-real in upgrading the coating section at the mill in Kemi, completed in October last year.",Engelska nyheter
40933.5963773148,Approach flow system from Noss to Schweighofer Fiber,"Jan 25 2012  Noss AB, Norrköping, Sweden, has received an order for a pulp machine approach flow system from Schweighofer Fiber in Hallein, Austria.","Schweighofer intends to enhance its product portfolio at Hallein mill from standard pulp to speciality pulp grades, where the end product can be used in areas such as textiles. Noss will deliver a Radiclone cleaner system to the mill. The rebuild is scheduled for the summer this year.GL&V Sweden has, as Papernet reported in the beginning of January, got  the order to rebuild the Austrian mill’s fiber line.",Engelska nyheter
40933.600162037,Metsä Tissue sells effluent plant in Poland,Jan 25 2012  Metsä Tissue has sold its effluent plant in Konstancin-Jeziorna near Warsaw. The buyer is a Polish company specializing in waste water treatment.,"The buyer, Saur Konstancja, belongs to the French Group Saur. The deal incorporated the plant’s entire business, personnel, buildings and land.Since January 9th the effluent plant has been under the management of Saur Konstancja, which plans a thorough modernization of  the plant by the end of 2013.“We have been working closely with local authorities in Konstancin-Jeziorna to find optimal solutions for all parties involved. We consider the transaction a great success, as we now can be sure that the municipality will have access to well-functioning waste management services for local residents, says CEO of Metsä Tissue.As Papernet reported recently, Metsä Tissue will close production and converting operations in Konstancin-Jeziorna by April. Two alternative options for the mill site, namely rezoning for residential development or utilizing the site for other operations, remain under evaluation.",Engelska nyheter
40933.6081828704,Increased wood chip exports from Latin America to Europe,"Jan 25 2012  Hardwood chip export from Chile, Uruguay and Brail was up 43 percent in 2011 compared to 2009. The three major importing countries in Europe are Spain, Portugal and Norway.","Wood chip exports from Latin America are on track to reach a record high of almost eight million tons in 2011, reports the Wood Resource Quarterly. This would be an increase of seven percent from last year and of almost 60 percent higher than in 2006.Chile is by far the biggest exporter, accounting for two-thirds of the total shipments from the continent, while Brazil and Uruguay both account for about 16 percent each. In 2011, Chile was the world’s second largest supplier of hardwood chips after Vietnam. Latin America’s hardwood chip export volumes accounted for approximately 50 percent of globally traded wood chips, a share that has grown from 34 percent five years ago.Historically, between 80-90 percent of the exported wood chips from Latin America have been destined for Japanese pulp mills, but there has been a diversification of consumers over the past few years. Although shipments to Japan have gone up by over 30 percent from 2006, the share of total exports has declined.The biggest change from five years ago is that pulp mills in Europe have been buying much more Eucalyptus chip, particularly from Chile and Uruguay. In 2011, total shipments to Europe reached almost 1.7 million tons, which was slightly lower than 2010 but more than a doubling from 2009, according to the Wood Resource Qarterly.The three major importing countries in Europe are Spain, Portugal and Norway. In addition, there have also been a few shipments to Finnish and Swedish pulp mills.",Engelska nyheter
40934.4972106482,ABB wins five-year full service agreement in South Africa,"Jan 26 2012  ABB has signed a five-year, full service contract with Nampak Corrugated, to manage maintenance and improve overall efficiency at the company’s Rosslyn paper mill in Pretoria, South Africa.","Under the agreement, ABB will manage all maintenance operations at the paper mill to improve equipment efficiency and increase production output while reducing operating costs. In addition, ABB will provide process optimization, energy consulting, equipment lifecycle services at the site, as well as manage all third-party subcontractors and suppliers. 62 Nampak maintenance employees transferred to ABB, when the contract took effect in December last year.Nampak is Africa’s largest packaging company, manufacturing a diverse range of paper, plastic, metal and glass packaging products. The Rosslyn mill manufactures recycled based paper for a variety of corrugated packaging products, supplied by Nampak’s Corrugated operations. “ABB Full Service agreements make business sense in terms of increasing efficiency in operations, and help to further develop skilled maintenance personnel in world-class practices,” said Veli-Matti Reinikkala, head of ABB’s Process Automation division. “These agreements provide an exceptional win-win situation for all involved, and allow the customer to focus on their core business while getting the best performance out of their process.”",Engelska nyheter
40935.3984375,Södra textile pulp production in progress,"Jan 27 2012  Production of textile pulp at Södra Cell Mörrum has now begun. Under full operation, annual production is expected to amount to 170,000 tons.","Södra made a decision to invest in the production of textile pulp back in December 2010. The investment in Mörrum will give Södra competitive textile pulp production based on hardwood.The Group is anticipating strong market development for textile pulp as it is renewable and timber-based, and it will replace oil-based and cotton fibres.  Since this decision was made, implementation of the investment and development of a new market organisation for the new customer segment have been taking place in parallel.“We are focusing on textile pulp as this is a growing market to which we can supply a certified, renewable forest raw material,” said Gunilla Saltin, President of Södra Cell.“For Södra Cell Mörrum, this is an important step in the reinforcement of the profitability and competitiveness of the mill,” said Magnus Olsson, Site Manager for Mörrum pulp mill.Södra’s executive committee has also made a decision in principle about an appropriation limit for production of textile pulp on a further pulp line at one of the company’s pulp mills. A definitive decision on a second textile pulp line at Södra will be made in 2012.",Engelska nyheter
40935.481099537,SCA's operating profit decreased,Jan 27 2012  SCA reports an operating profit that decreased by four percent in 2011 but was unchanged excluding exchange rate effects.,"SCA's net sales decreased by one percent (increased by four percent excluding exchange rate effects and divestments) to 105,750 million Kronor (106,965 million previous year). Operating profit, excluding items affecting comparability decreased, by four percent (unchanged excluding exchange rate effects) to 9,224 million Kronor (9,608).Earnings per share, including items affecting comparability, were 0.78 Kronor (7.90). Cash flow from current operations was 6,383 million Kronor (7,399). The Board of Directors proposes an increase in the dividend by five percent to 4.20 Kronor per share.”During the financial year SCA carried out important efficiency improvement measures, stepped up the pace in its launch of new products, and achieved growth in both mature and emerging markets. Sales increased in all business areas, and net sales for 2011, excluding exchange rate effects and divestments, rose four percent compared with a year earlier,” comments Jan Johansson, CEO of SCA.”Growth in the hygiene operations remained good in emerging markets, where Personal Care and Tissue grew sales by 13 and ten percent, respectively. To take advantage of growth opportunities in the hygiene operations and strengthen our positions in emerging markets, during the year we carried out acquisitions and investments in Brazil, Turkey and Russia, among other places.”Net sales for the fourth quarter of 2011, excluding exchange rate effects and divestments, increased by one percent, and operating profit, excluding items affecting comparability and exchange rate effects, increased by one percent compared with the fourth quarter a year ago.Compared with the third quarter, operating profit for the fourth quarter excluding items affecting comparability rose four percent, while net sales were largely unchanged. The operating margin for the hygiene operations continued to grow.Continued good demand is expected for SCA’s hygiene operations.",Engelska nyheter
40935.4915393519,Loss in fourth quarter for Rottneros,"Jan 27 2012   Rottneros generates loss after net financial items of 44 million Kronor in the fourth quarter of 2011, down from profit aof 13 million in the corresponding period year before. For the full year 2011 Rottneros reports a profit after net financial items of 28 million Kronor.","Rottneros' profit after net financial items amounted to 28 million Kronor for the full year 2011 before write-downs and one-off costs, down from 138 million Kronor the year before. Profit after net financial items amounted to -44 million Kronor for the fourth quarter (13).The result for the third quarter of 2011 was charged with write-downs of -118 million Kronor and one-off costs of -30 million Kronor. Loss after net financial items amounted to -120 million Kronor for the full year 2011 after these write-downs and one-off costs.The board proposes a dividend of 0.10 Kronor per share (0.20).2”011 was a year of two quite different halves. Demand for sulphate pulp was good during the first six months of the year, which resulted in prices increasing to a new record level. However, the price of mechanical pulp remained virtually static despite the good momentum for chemical pulp. Global stock levels for pulp increased, which was probably due to purchasers worrying about further price rises,” says Ole Terland, CEO of Rottneros. ”The market psychology changed during the summer; demand for printing and writing paper was weak, the financial crisis worsened in Member States in the Eurosystem and high levels of pulp stock suddenly became a good reason to push pulp prices down.””We completed extensive improvements and investments at Vallvik mill during the last quarter of the year,” Terland continues. ”Negotiations have been concluded in respect of the improvement program at Rottneros mill, which was announced in September, and notices of termination given and early retirements arranged. The program will be fully implemented during the summer.”",Engelska nyheter
40935.5100810185,SCA to hike recycled containerboard prices,Jan 27 2012  SCA has announce a hike of recycled containerboard prices by up to 100 Euros per ton in European markets.,"In consideration of the continued pressure of high input costs and the improving market demand, SCA Containerboard is announcing a price increase of 100 Euros per ton for all recycled grades in all European markets. The price increase will take effect on February 1.In addition, valid from March 1, a price increase of 80 Euros per ton will be implemented for all kraftliner grades in all European markets.",Engelska nyheter
40935.5734490741,Metso-supplied containerboard line starts up at Saica UK,"Jan 27 2012  The Metso-supplied containerboard line, PM11, for Saica Containerboard, successfully has come on stream at Partington, near Manchester in the UK.","The record-breaking start-up speed was 1,105 meters per minute. Three days after start-up, on January 18, the first sellable paper reels were produced and tested, leaving the mill and reaching the first customers shortly afterwards.“We are sure the high level of cooperation achieved between Saica and Metso will create significant added value for the further optimization of the production line. This will allow Saica to deliver high-quality lightweight containerboard paper to our customers setting the standard for these grades in the UK and in Europe,” said Francisco Carilla, Industrial Projects Director, Saica.The new 8.2 meters wide PM11 has an annual production capacity of approximately 400,000 tons of lightweight testliner and fluting grades, out of recycled raw material. The design speed is 1,700 meters per minute.Metso’s delivery included a complete OptiConcept board making line from headbox to reel with an approach flow system, pulpers, air systems, press section clothing as well as a high-capacity WinDrum Pro winder.A comprehensive Metso DNA automation package comprised process, machine and quality controls as well as machine condition monitoring. Metso Mill Service will have full responsibility for the mill maintenance operations.",Engelska nyheter
40938.4150578704,European fine paper deliveries continued down in December,Jan 30 2012  Fine paper shipments from European producers continued to decrease in December.,"Shipments of coated woodfree (CWF) and uncoated woodfree (UWF) paper from European producers continued to drop in December, according to statistics published by Cepifine, the Association of European Fine Paper Manufacturers.Total deliveries of CWF decreased by five percent, and total UWF deliveries decreased by two percent, compared to December 2010. The figures for year-to-date were -4.9 percent for CWF and -2.6 percent for UWF.CWF deliveries to Europe (the 27 EU countries plus Norway and Switzerland) decreased by -3.8 percent and deliveries to countries outside Europe dropped by -8.1 percent, compared to December 2010. For UWF the corresponding figures were -5.6 percent and -14 percent.The estimated European demand for CWF was down -3.1 percent in December compared with December a year ago. The estimated European demand for UWF was down -6.8 percent in December compared to the same month 2010.",Engelska nyheter
40939.3841435185,Peterson to hike kraftliner prices,Jan 31 2012  Norwegian Peterson Linerboard has decided to increase unbleached kraftliner prices  from March 1.,"Peterson Linerboard announces a kraftliner price hike. The company has announced a price increase for its range of unbleached kraftliner grades of 80 Euros per ton, valid from March 1 for all European markets.Peterson Linerboard, with production in Moss and Ranheim in southern Norway, deliver kraftliner, testliner and coreboard for the European market. The company has a market share in Europe of around eight percent.Peterson Linerboard is the biggest business area within the Peterson Group with approximately 43 percent of the Group's total turnover. The kraftliner production capacity is 285,000 tons per year.",Engelska nyheter
40940.4093518518,Tough end to a good year for Billerud,"Feb 1 2012  Billerud's net sales amounted to 2,086 million Kronor in the fourth quarter of 2011 compared with 2,327 million in the previous quarter. A tough end to a good year, according to Billerud's CEO.","Billerud's operating profit in the fourth quarter amounted to 75 million Kronor, a decrease of 221 million compared with the previous quarter. The decline is mainly due to less favourable prices and a periodic maintenance shutdown at the Gruvön mill.For the full year 2011 Billerud reports that net sales increased by six percent from the previous year to 9,343 million Kronor. Operating profit amounted to 978 million Kronor, a decrease of six percent, compared to 2010. Lower operating profit for the Market Pulp business area was partly compensated by higher operating profit for the packaging paper segments.The Board of Directors proposes a dividend of 3.50 Kronor per share for 2011 (3.50).“2011 started very positively with high demand and rising prices, which resulted in very strong earnings. The year ended more moderately after a fall in demand in the summer and autumn, price pressure on packaging paper, falling pulp prices and decreasing customer stocks,” Per Lindberg, CEO of Billerud, comments.”Despite this, we are delivering a very strong result for the full year with an operating margin that met our ten percent target and a return on capital employed of 20 percent,” Lindberg says.”In order to further strengthen our competitiveness, a decision was made during the fourth quarter to invest approximately 900 million Kronor in the Skärblacka mill. This investment will improve energy efficiency and environmental performance as well as enabling future expansion,” Per Lindberg adds.",Engelska nyheter
40940.4208912037,UPM to build biorefinery producing wood-based biodiesel,"Feb 1 2012  UPM is to invest in a biorefinery producing biofuels from crude tall oil in Lappeenranta, Finland. The industrial scale investment is the first of its kind globally.","The biorefinery will produce annually approximately 100,000 tons of advanced second generation biodiesel for transport. Construction of the biorefinery will begin in the summer of 2012 at UPM’s Kaukas mill site and be completed in 2014. UPM’s total investment will amount to approximately 150 million Euros.”The biofuels business has excellent growth potential. The quality of our end product and its environmental characteristics has gained significant interest among a wide range of customers, and the investment is profitable. Lappeenranta is the first step on UPM’s way in becoming a significant producer of advanced second generation biofuels. This is also a focal part in the realisation of our Biofore strategy,” says Jussi Pesonen, CEO of UPM.UPM ’s advanced biodiesel, UPM BioVerno, is an innovation which will decrease greenhouse gas emissions of transport up to 80 percent in comparison to fossil fuels. The product’s characteristics correspond to those of the traditional oil-based fuels and highly complement today’s vehicles and fuel distribution systems.”Our biorefinery in Lappeenranta is the first significant investment in a new and innovative production facility in Finland during the ongoing transformation of forest industry,” Pesonen says.The construction of the biorefinery will offer work for nearly 200 people for approximately two years.  When production commences, the biorefinery will directly employ nearly 50 people and indirectly about 150 people.",Engelska nyheter
40940.4228125,Billerud to acquire UPM’s packaging paper business,Feb 1 2012  Billerud has signed an agreement with UPM to acquire UPM’s packaging paper business in Pietarsaari and Tervasaari. The purchase price is 130 million Euros (1.2 billion Kronor).,"The acquisition includes one paper machine in Pietarsaari and one paper machine in Tervasaari. Both machines rank among the largest and most efficient of its kind in Europe. The machines produce packaging paper (sack/kraft paper). The annual production capacity is approximately 300,000 tons. The business has approximately 185 employees. Other activities at the two sites will remain owned and operated by UPM.”We see great potential in the acquired business, as it will now be integrated in a business focused on packaging paper. The acquisition will give us a strong platform to continue developing our offering within smarter packaging solutions. In addition, the acquisition significantly reduces our pulp exposure and adds a much larger Euro cost base, which we view positively,” says Per Lindberg, CEO of Billerud.“UPM considers continuing consolidation to be critical to the cost competitiveness of the whole industry. With this transaction, UPM and Billerud will have an improved opportunity to develop businesses that are at the center of each company’s strategy. Billerud is a solid and successful player in the packaging paper business, whereas UPM is increasingly focusing on graphic papers and selected speciality papers,” says Jyrki Ovaska, President of UPM’s Paper Business Group.Billerud's annual net synergies are estimated to approximately 30 million Kronor with full financial impact from year-end 2013.The acquired business achieved sales of approximately 220 million Euros (two billion Kronor) and EBITDA of approximately 18 million Euros (165 million Kronor) in 2011.Long-term agreements have been signed between the parties where UPM, among other things, will deliver production inputs such as pulp, steam and electricity to Billerud.The acquisition is subject to applicable regulatory clearances.",Engelska nyheter
40941.4918171296,Ahlstrom advances filtration testing,"Feb 2 2012  Ahlstrom has completed significant upgrades to its Global Filtration Technical Center in Turin, Italy.","Ahlstrom has been investing in testing and processing equipment in its Global Filtration Technical Center in Turin during the last year. Testing can be carried out as finished filters or flat sheet configuration, and the testing facility focuses on research and development for all transportation, air and liquid filtration applications.""Our investment to the testing and development facility is yet another example of our commitment to the filtration market. We are now better equipped to collaborate with our customers and work together to develop the next generation filtration ideas,"" states Tommi Björnman, Executive Vice President, Filtration.Ahlstrom is the world's largest filtration material producer. Ahlstrom Filtration has five other Technical Centers in North and South America and in Asia, which offer research and development support globally for testing and development of filter media.",Engelska nyheter
40941.6788888889,Metsä Tissue receives EU grant for low carbon manufacturing,"Feb 2 2012  Metsä Tissue has been awarded a grant of over 400,000 Euros by the European Commission as part of its Sustainable Industry Low Carbon (SILC) Scheme. Metsä Tissue is participating in the scheme with its Sustainable Low Carbon Tissue Manufacturing Project.","The project’s main target is to analyse and develop concepts for the optimisation of heat recovery systems at all tissue paper mills operated by Metsä Tissue. The mills will adopt the template successfully established at two German mills in 2009 and 2010. The project is part of the company’s Tissue 20 project, which aims to implement energy-saving actions to achieve a combined saving equal to 20 percent of the company’s 2007-level energy consumption by the end of 2012.Metsä Tissue’s project was one of only two projects to pass all the strict thresholds defined by the European Commission. The Commission confirms that the requirements were extremely strict in order to assure the quality of the accepted projects.“This grant enables us to radically speed up the project realisation time,” says Rudi Staszewski, Project Manager and Energy Efficiency Coordinator at Metsä Tissue.“The forthcoming efficiency improvements are important steps mitigating climate change. This grant will give us an extra boost, enabling us to channel more resources into the valuable energy efficiency work being done at Metsä Tissue,” confirms Jarkko Kaplin, Vice President, Purchasing and Energy at Metsä Tissue.Metsä Tissue will be publishing the project results and will consult other companies and organizations on themes related to energy efficiency. The final report will be published at the end of the project.",Engelska nyheter
40941.6854513889,Holmen's operating profit down 21 percent in fourth quarter,Feb 2 2012  Holmen's operating profit in the fourth quarter of 2011 was down 21 percent to 410 million Kronor. Full year 2011 result increased significantly due to revaluation of Holmen's forest holdings.,"Holmen reports a profit after tax for 2011 of 3,955 million Kronor (2010: 704 million). Revaluation of forest affected profit after tax for the year in the amount of 2,648 million Kronor. Earnings per share totalled 47.1 Kronor (8.4), including 31.5 Kronor from revaluation of forest. Return on equity was 23.1 percent (4.2). The Board of Directors proposes a dividend of eight Kronor per share.Operating profit, excluding items affecting comparability, totalled 1,980 million Kronor (1,332). The improvement is explained by higher prices for printing paper and paperboard, while higher costs for wood and recovered paper had an adverse impact on the result. Compared to the third quarter, operating profit in the fourth quarter declined by 109 million to 410 million Kronor as a result of seasonally higher costs and market related production limitations.Demand in Europe for printing paper, paperboard and sawn timber remained weak in the fourth quarter.",Engelska nyheter
40945.4483912037,UPM to build combined heat and power plant at Schongau mill,Feb 6 2012  UPM continues to invest in efficient energy generation and builds a new combined heat and power plant at the Schongau mill in Germany.,"The target for the project is to significantly reduce energy costs as well as to secure the energy supply. The total investment is 85 million Euros.The new power plant will generate process heat as well as electricity for the mill. It will also provide district heating for roughly 750 households and public institutions in Schongau. The renewed energy supply at the mill will be utilizing gas as a fuel.“The new gas power plant will improve the security and self-sufficiency of energy supply to our mill,” explains Winfried Schaur, General Manager, UPM Schongau. “The renewal of the energy generation ensures efficient production and will safeguard the competiveness of the mill.""The start-up is planned by the end of 2014. The gas power plant will replace the old plant facility which has operated more than 40 years.",Engelska nyheter
40945.466412037,ABB launches new generation of actuators,Feb 6 2012  Power and automation technology group ABB has launched the next generation of Weight xP extended profiling actuators to help customers reduce costs.,"High-speed positioning means that paper manufacturers can achieve faster grade changes and faster recovery from process upset. Steven St Jarre, head of sales and marketing for ABB Quality Control Systems, said: “With the new Weight xP’s technology, mills can achieve faster recovery from grade changes and process upsets that they need to keep productivity at high levels. It helps reduce variability, improves product quality, reduces possibility of sheet breaks and also improves moisture profile.”He added that the reductions in variability allow for shifts in quality targets that can save fiber and energy costs. It is the latest generation of ABB’s xP profilers. The Weight xP family of actuators includes the Slice xP, Dilution xP and Coat Weight xP systems that are based on ABB’s experience in applying actuators on more than 25 different manufacturers of headboxes and coaters. The actuators feature patented and patent-pending technology that eliminate the dependence on a physical position sensor.",Engelska nyheter
40945.4711805556,DS Smith’s shareholders approved the acquisition of SCA Packaging,"Feb 6 2012  The shareholders of UK-based packaging group DS Smith have approved the company´s proposal to acquire SCA’s packaging operations, excluding two virgin fiber kraftliner mills.","The transaction remains subject, amongst other things, to antitrust clearance from the European Commission. Closing is expected during the second quarter of 2012.The deal does not include SCA's two kraftliner mills in Sweden, Munksund and Obbola mills, which will remain within SCA.Regarding the French part of the packaging operations, DS Smith has made a formal offer to acquire this business. This process is subject to an information and consultation procedure with the relevant works councils and will be treated separately.",Engelska nyheter
40945.7280555556,Tetra Pak opens new factory in Finland,"Feb 6 2012  Tetra Pak has inaugurated its new packaging material factory in Finland. The factory, located in Imatra, with a planned capacity of 500 million packages per year, will expand Tetra Pak’s gable top capacity for Northern Europe.","The laminated paper board used to produce the packaging material comes from Stora Enso's Imatra paper mills only six kilometers from the location of the new factory, and the short distance helps reduce the CO2 emissions for the transportation of paperboard to the factory.The production facilities are expected to be ISO 14001 certified in the beginning of 2013, and plans are underway to implement World Class Manufacturing (WCM) practices at the plant.Stora Enso Imatra in southeast Finland is one of four cartonboard mills in the Nordic region supplying paperboard to Tetra Pak. The other mills are Stora Enso Skoghall and Korsnäs' mills in Gävle and Frövi, all in Sweden.",Engelska nyheter
40946.4431018518,M-real introduces its first ColorPRO Technology paper,"Feb 7 2012  M-real is launching Modo Jet PRO, one of the first papers to be made with M-real's ColorPRO Technology. It is produced at the Husum paper mill in northern Sweden and will be part of the well-established Modo Papers range.","ColorPRO Technology is applied to the paper during the production process. Treated papers ‘hold’ the ink at the surface of the paper, producing higher quality and more striking results. The technology also eliminates the need for bonding agents. This new technology will enable printers to achieve brighter colours, higher contrast blacks, sharper lines and finer detail on any printers that use pigmented inks.Developed in conjunction with HP and Pitney Bowes, it has undergone extensive third party testing and is guaranteed for use on all HP Inkjet Web Presses and Pitney Bowes IntelliJet printing systems series printers, as well as any technology using pigmented inks.Modo Jet PRO is available in 80, 90, 100 and 115 grams.",Engelska nyheter
40946.4503587963,VTT invests to new added value fiber-based products,"Feb 7 2012  VTT Technical Research Center of Finland, has, together with the industry, started setting up a new pilot scale technology platform for foam forming applications.","Foam forming technology gives opportunities to develop new recyclable and light weight wood fiber products. It also gives a possibility to decrease raw material and production costs remarkably compared to recent technology.With foam forming technology it is possible to improve paper properties and enable to manufacture high porosity, smooth and light weight products (such as hygiene products, insulation materials and filters). It may also be a solution for various printed intelligence, nano- or microcellulose applications, VTT writes in a press release.""The foam forming technology requires significantly less water than conventional paper and board manufacturing. In foam forming large amounts of air is mixed to fiber furnish, which makes it possible to achieve unique product properties. This technology reduces water and energy consumption, while saving raw material. Laboratory results from the Forestcluster programs have shown potential for remarkable fiber savings,“ states Janne Poranen, Technology Manager at VTT.At the beginning of this year VTT launched its KOTVA project, targeting to scaleup foam forming technology to SUORA. SUORA is a pilot-scale research environment for fiber processes, developed in close collaboration with the members of the Finnish Forestcluster Ltd. SUORA offers cost efficient prototyping of ideas, fast experimenting, and development of new process solutions. The two-year KOTVA project has a budget of two million Euros.In the KOTVA project, VTT and the University of Jyväskylä combine their knowledge in developing new production and measurement technologies for foam forming. Other partners of the project are UPM, Stora-Enso, M-real, Metso, Kemira, Omya, Wetend Technologies and Vision Systems.",Engelska nyheter
40947.4611111111,Stora Enso ranked sector leader by Forest Footprint Disclosure,"Feb 8 2012  Stora Enso has been rated as sector leader in the Forest Footprint Disclosure Review for 2011, published in London. This recognition rewards the company for managing and transparently reporting its forest footprint.","A ‘forest footprint’ measures the total amount of deforestation caused directly or indirectly by an organization or product. Many businesses unknowingly source products that contribute to deforestation in their supply chains, and their resulting forest footprint can create unexpected valuation risks and add to their climate change impacts. The Forest Footprint Disclosure Review analyses questionnaire responses submitted by international companies.“We are very proud of this recognition, as responsible forestry is one of the cornerstones for Stora Enso’s business” says Antti Marjokorpi, Senior Vice President, Group Forest Operations. “We use third-party-verified traceability systems to ensure that we know the origin of all the wood we use. We also promote credible forest certification, certify the forests and tree plantations we manage, and continuously provide training for our employees and partners about responsible forestry. But we do not feel that this work is complete, and we are still working hard to improve our performance every year.”Stora Enso has now been ranked as the leading performer in its sector for two years running by The Forest Footprint Disclosure.",Engelska nyheter
40947.6465393518,Improved operating result but huge net loss for Norske Skog,"Feb 8 2012  Norske Skog reports an improved operating result, both for the fourth quarter and the full year 2011, but the net result is still a huge loss.","Norske Skog improved its gross operating result in the fourth quarter, partly due to lower costs. A weaker Norwegian Krone also contributed positively. Gross operating earnings in the fourth quarter were 503 million Norwegian Kroner, compared to 469 million in the third quarter. Even for the year as a whole, gross operating earnings improved.“These numbers confirm that underlying operations are gradually improving, in line with our guidance through the year. But the market is still challenging, and we keep up our vigorous efforts to improve the group’s competitive position and financial headroom,” says Sven Ombudstvedt, CEO of Norske Skog.Norske skog's sales in 2011 were 18,904 million Norwegian Kroner (18,986). Net result was -2,545 million Norwegian Kroner (-2,469).",Engelska nyheter
40947.7630439815,Rottneros to increase CTMP price,Feb 8 2012  Rottneros is increasing its sales price for all CTMP grades by 30 Euros per ton.,"Rottneros pulp mill in Värmland, Sweden, is increasing its sales price for all CTMP grades by 30 Euros per ton for all deliveries as of March 1. The increased price for CTMP is a result of good demand, particularly in Asia, and this has encouraged Rottneros to increase its prices in Europe as well, the company writes in a press release.In addition to the good demand for CTMP, there has been a considerable reduction in global stock levels of Eucalyptus kraft pulp, and prices have improved since December 2011.Rottneros is an independent producer of market pulp. The Group has two mills, Rottneros mill and Vallviks mill with operations involving the production and sale of market pulp. The Group also includes the wood procurement company Rottneros Baltic SIA in Latvia.The Group has around 298 employees and had a turnover of approximately 1.5 billion Kronor in the 2011 financial year.",Engelska nyheter
40947.8891782407,Stora Enso reports strong annual cash flow but decreasing profit,Feb 8 2012  Stora Enso reports strong annual cash flow from operations but weak fourth quarter and decreased profit.,"Stora Enso's cash flow from operations improved to 302 million Euros (265) due to working capital management. Operating result, however, decreased, as well as net result. Net result in the fourth quarter was 100.2 million Euros (313.0). For the full year 2011 Stora Enso's net sales amounted at 342.2 million Euros (769.3).The liquidity continued to be strong at 1,134 million Euros (1,103).Stora Enso's net sales 2011 amounted at 10,964.9 million Euros (10,296.9).“The uncertainty and slowing down of the economy were distinctly apparent in our performance in the fourth quarter. The pricing momentum achieved earlier in the year helped us through the fourth quarter with satisfactory results, and as before, with strong cash flow and liquidity at the year end,” sais Jouko Karvinen, CEO of Stora Enso.“Reviewing our own performance in 2011, it is also evident that more flexibility, productivity and work to build customer loyalty are needed. And even with the strong cash flow of the fourth quarter, we need to re-engineer our demand chain to release cash from working capital to invest in our future,” Karvinen said.",Engelska nyheter
